Timestamp,Raw_AD (D0),Voltage_V
2026-09-19 12:10:28,0,0.0
2026-09-19 12:10:28,0,0.0
2026-09-19 12:10:29,0,0.0
2026-09-19 12:10:29,0,0.0
2026-09-19 12:10:30,0,0.0
2026-09-19 12:10:30,0,0.0
2026-09-19 12:10:31,0,0.0
2026-09-19 12:10:31,0,0.0
2026-09-19 12:10:32,0,0.0
2026-09-19 12:10:33,0,0.0
2026-09-19 12:10:33,0,0.0
2026-09-19 12:10:34,0,0.0
2026-09-19 12:10:34,0,0.0
2026-09-19 12:10:35,0,0.0
2026-09-19 12:10:35,0,0.0
2026-09-19 12:10:36,0,0.0
2026-09-19 12:10:36,0,0.0
2026-09-19 12:10:37,0,0.0
2026-09-19 12:10:37,0,0.0
2026-09-19 12:12:45,0,0.0
2026-09-19 12:12:45,0,0.0
2026-09-19 12:12:46,0,0.0
2026-09-19 12:12:46,0,0.0
2026-09-19 12:12:47,0,0.0
2026-09-19 12:12:47,0,0.0
2026-09-19 12:12:48,0,0.0
2026-09-19 12:12:49,0,0.0
2026-09-19 12:12:49,0,0.0
2026-09-19 12:12:50,0,0.0
2026-09-19 12:12:50,0,0.0
2026-09-19 12:12:51,0,0.0
2026-09-19 12:12:51,0,0.0
2026-09-19 12:12:52,0,0.0
2026-09-19 12:12:53,0,0.0
2026-09-19 12:12:53,0,0.0
2026-09-19 12:12:54,0,0.0
2026-09-19 12:12:54,0,0.0
2026-09-19 12:12:55,0,0.0
2026-09-19 12:12:55,0,0.0
2026-09-19 12:12:56,0,0.0
2026-09-19 12:12:56,0,0.0
2026-09-19 12:12:57,0,0.0
2026-09-19 12:12:57,0,0.0
2026-09-19 12:12:58,0,0.0
2026-09-19 12:12:58,0,0.0
2026-09-19 12:12:59,0,0.0
2026-09-19 12:13:00,0,0.0
2026-09-19 12:13:00,0,0.0
2026-09-19 12:13:01,0,0.0
2026-09-19 12:13:01,0,0.0
2026-09-19 12:13:02,0,0.0
2026-09-19 12:13:02,0,0.0
2026-09-19 12:13:03,0,0.0
2026-09-19 12:13:03,0,0.0
2026-09-19 12:13:04,0,0.0
2026-09-19 12:13:04,0,0.0
2026-09-19 12:13:05,0,0.0
2026-09-19 12:13:05,0,0.0
2026-09-19 12:13:06,0,0.0
2026-09-19 12:13:06,0,0.0
2026-09-19 12:13:07,0,0.0
2026-09-19 12:13:08,0,0.0
2026-09-19 12:13:08,0,0.0
2026-09-19 12:13:09,0,0.0
2026-09-19 12:13:09,0,0.0
